,0
924,7584956
925,9238692
926,9135575
927,8772307
928,6440274
929,8309799
930,5877753
931,9510031
932,6844779
933,6595787
934,8612702
935,9407435
936,9530767
937,5636189
938,7945198
939,8612728
940,5809936
941,9937071
942,5899348
943,6209273
944,8712131
945,9681287
946,9892965
947,8288277
948,6800744
949,7140515
950,5707759
951,7662731
952,7431835
953,5748400
954,6929967
955,7595801
956,7547194
957,9927676
958,9467795
959,5844504
960,7582137
961,7265004
962,7086139
963,7980969
964,7483699
965,9536742
966,7895880
967,5334511
968,5853030
969,8819242
970,9408490
971,9129324
972,8046783
973,8468428
974,6975947
975,5915267
976,9109513
977,8893333
978,9764122
979,8603111
980,8957623
981,6839751
982,8490250
983,7374509
984,8877027
985,6163995
986,9250356
987,8795113
988,8854937
989,8100268
990,6808356
991,8074374
992,7733489
993,8571564
994,6081797
995,9391568
996,9283966
997,9107335
998,6208712
999,9853812
1000,5032888
1001,5549827
1002,6144645
1003,5796662
1004,7424272
1005,8382398
1006,5523152
1007,7472402
1008,9912189
1009,9653352
1010,6242416
1011,9259810
1012,5934257
1013,5749459
1014,7359761
1015,5153134
1016,8615862
1017,9832476
1018,9790267
1019,9384550
1020,9276096
1021,5902814
1022,9369864
1023,7191329
1024,9984329
1025,6183889
1026,7653759
1027,5466183
1028,6215931
1029,9368981
1030,6292245
1031,8703027
1032,6657581
1033,9160785
1034,7381071
1035,6743268
1036,5839052
1037,5294481
1038,7437576
1039,5926126
1040,7892814
1041,8626391
1042,8506089
1043,7316816
1044,6632265
1045,5104125
1046,8034332
1047,9013438
1048,9534830
1049,7028316
1050,9262710
1051,8737265
1052,6572605
1053,9351151
1054,8001041
1055,7988916
1056,7474539
1057,8138370
1058,5347571
1059,7664784
1060,5383755
1061,7279445
1062,9604593
1063,8361622
1064,6248308
1065,6427710
1066,8014199
1067,8635316
1068,5169055
1069,9976292
1070,8069138
1071,9706560
1072,8014502
1073,8181648
1074,8472381
1075,6188578
1076,7193137
1077,7986029
1078,9059334
1079,9442769
1080,6889846
1081,7601808
1082,6137432
1083,7845406
1084,9837027
1085,7927643
1086,7523914
1087,8485370
1088,6430731
1089,7965926
1090,5237705
1091,7529566
1092,8359626
1093,6434470
1094,7684180
1095,7746743
1096,7318725
1097,6683425
1098,9609259
1099,9665410
1100,9002278
1101,7051931
1102,5008275
1103,8419497
1104,9482525
1105,8643720
1106,6236770
1107,6228697
1108,9109777
1109,8774498
1110,8562239
1111,5244343
1112,7797505
1113,8986797
1114,6682691
1115,5578358
1116,8212811
1117,9651508
1118,5752080
1119,7802480
1120,5470729
1121,8750842
1122,9123092
1123,5941039
1124,7756824
1125,8379657
1126,8721886
1127,9269383
1128,7924403
1129,9907685
1130,5270322
1131,9450509
1132,9757701
1133,8607979
1134,6139178
1135,7051933
1136,8054823
1137,7058887
1138,8503767
1139,6028571
1140,5374016
1141,8841145
1142,8062688
1143,5351673
1144,9380232
1145,7158835
1146,9296919
1147,6136236
1148,5715359
1149,8177448
1150,5380450
1151,8218633
1152,7301834
1153,9078603
1154,9539180
1155,6626826
1156,6985324
1157,5617856
1158,9079683
1159,6554471
1160,9809498
1161,5845599
1162,7825621
1163,9621090
1164,9940354
1165,9320245
1166,9092876
1167,6246776
1168,9505348
1169,7464667
1170,7906159
1171,7461093
1172,9973585
1173,6569868
1174,9785057
1175,7794127
1176,7384448
1177,5959263
1178,5491782
1179,9338460
1180,7645390
1181,8205402
1182,9248317
1183,9450520
1184,5778208
1185,6295895
1186,6641367
1187,5151964
1188,7212894
1189,8561493
1190,6664427
1191,6707429
1192,6253070
1193,6453647
1194,8408244
1195,6787600
1196,6271276
1197,5326156
1198,5241029
1199,8387947
1200,8033567
1201,5311228
1202,8064673
1203,7714779
1204,8528498
1205,8319894
1206,5632568
1207,8181304
1208,9458626
1209,6200149
1210,9888008
1211,9141808
1212,7636592
1213,9573375
1214,9570595
1215,8167392
1216,9517390
1217,8174820
1218,5659370
1219,5742807
1220,6818609
1221,9157300
1222,6346746
1223,9112974
1224,5148865
1225,7301602
1226,7818695
1227,6381824
1228,9054826
1229,6487342
1230,8029342
1231,5273377
1232,8299053
1233,7749991
1234,8077410
1235,5729288
1236,5535114
1237,6859620
1238,7073519
1239,5843890
1240,6374339
1241,7375035
1242,5740813
1243,6438558
1244,9980824
1245,7757426
1246,5511407
1247,5650202
1248,6034560
1249,9932970
1250,5089319
1251,8199792
1252,6730701
1253,9432898
1254,5981488
1255,7123878
1256,5356302
1257,6920170
1258,6335722
1259,5420374
1260,7280747
1261,5546954
1262,8240933
1263,8346455
1264,5958808
1265,9969151
1266,7970483
1267,7423619
1268,6183207
1269,7477699
1270,5700465
1271,7815916
1272,8949829
1273,8689917
1274,8061738
1275,6615434
1276,9600428
1277,6495184
1278,7477878
1279,5719081
1280,9684837
1281,9134658
1282,7982466
1283,8485445
1284,8106508
1285,6760682
1286,5592359
1287,6750693
1288,9557530
1289,7183168
