,Unnamed: 0.1,user_id,num_revs,nationality,group,age
3260,4852,9077864,1,India,Female,31-40
3261,4853,6568354,1,France,,not specified
3262,4855,8543721,2,Canada,,not specified
3263,4857,9633944,1,Spain,Male,31-40
3264,4858,7431421,3,Slovenia,Female,31-40
3265,4859,9904765,2,Sweden,Mixed Group,25-30
3266,4860,7657352,1,Germany,,not specified
3267,4862,5407616,1,France,,not specified
3268,4865,8001747,2,England,,not specified
3269,4866,6229042,1,Brazil,,not specified
3270,4868,7054210,4,Italy,Mixed Group,18-24
3271,4869,7409879,1,Sweden,,not specified
3272,4870,5965627,1,Scotland,,not specified
3273,4874,5841037,3,England,,not specified
3274,4875,8126776,1,Taiwan,,not specified
3275,4876,7163882,1,Poland,,not specified
3276,4877,7710927,1,Austria,,not specified
3277,4878,7508271,2,Wales,,not specified
3278,4880,6534439,6,Canada,,not specified
3279,4881,5790915,4,Ireland,Female,25-30
3280,4883,8935022,1,Germany,,not specified
3281,4884,6003795,1,Ireland,,not specified
3282,4885,8616252,1,Hong Kong,,not specified
3283,4886,5349893,3,Lithuania,,not specified
3284,4889,9147177,1,Indonesia,,not specified
3285,4892,7547453,17,Croatia,Couple,25-30
3286,4893,9940634,2,Germany,Male,41+
3287,4894,9225935,1,Germany,Couple,18-24
3288,4895,8259640,4,Serbia,Female,25-30
3289,4896,6877467,2,Canada,,not specified
3290,4897,8602929,2,Chile,,not specified
3291,4898,9781117,4,Switzerland,Female,25-30
3292,4899,9994113,1,France,,not specified
3293,4900,6555638,1,France,,not specified
3294,4901,5421363,1,Netherlands,,not specified
3295,4902,9219210,1,England,Male,18-24
3296,4903,7299774,1,France,,not specified
3297,4905,8119069,1,Spain,,not specified
3298,4906,9641403,1,Netherlands,Female,18-24
3299,4908,9442832,3,Tanzania,Couple,25-30
3300,4909,6549338,1,Poland,,not specified
3301,4910,5938850,1,England,,not specified
3302,4911,9810050,1,New Zealand,,not specified
3303,4912,9241725,2,Spain,Mixed Group,31-40
3304,4913,8916321,1,Wales,Female,18-24
3305,4914,6073985,14,Australia,Female,25-30
