,hostel_id,hostel
736,736,Rethymno Youth Hostel
737,737,Gojo Guest House
738,738,Beagle Houseboat
739,739,The Phoenix
740,740,Travelodge Limerick
741,741,Hostel Quetzal
742,742,Popol Vuh
743,743,Arequipay Backpackers Downtown
744,744,Tango Hostel
745,745,Che Lagarto Hostel Paraty
746,746,Submarino Hostel
747,747,Hostel Estoril
748,748,Andes Hostel
749,749,Hotel Allegra
750,750,Hostal Palermo Barcelona
751,751,Luna-Park Hotel
752,752,Hostel Colours
753,753,Nomads Queenstown
754,754,Sokolska Youth Hostel
755,755,Hotel Ginevra
756,756,Timhotel Boulogne Rives De Seine
757,757,Sofias Hotel
758,758,Hostel4u
759,759,Orange Hostel - Old Town
760,760,Blooms Boutique Hostel & Apartments
761,761,One World Hostel
762,762,Patchwork Design Hostel
763,763,Ostello S. Fosca
764,764,Hostel Lodi
765,765,Il Castello
766,766,Choiseul Hotel
767,767,Residencial Uno
768,768,Lima Sol House
769,769,Las Vegas Hostel
770,770,HI Chamounix Mansion
771,771,Duo Housing DC
772,772,Pars Teatro hostel
773,773,The Matterhorn Hostel Zermatt
774,774,Pension Souika
775,775,Budapest Bubble
776,776,Backpackers on Dundas
777,777,Aristoteles Hotel
778,778,Pension Marthahaus
779,779,B&B Tradiciones Miraflores
780,780,HI San Francisco - Fisherman's Wharf
781,781,Happy Inn Lodge
782,782,Dragon King Hostel
783,783,Hangzhou International Youth Hostel
784,784,A Casa di Amici Hostel & Guesthouse
785,785,Driade
786,786,Kamp
787,787,City Public Hostel
788,788,DU 4 ARTE hostel
789,789,Hospedaje Penthouse 1004
790,790,Retra's Hostel
791,791,Collingwood Accommodation Melbourne
792,792,Haris Youth Hostel
793,793,Old Town Hostel East Wing
794,794,Little Big House
795,795,Backpacker's Hostel Chez Patrick
796,796,Keylany Hotel
797,797,RC Miguel Angel
798,798,HI Monterey
799,799,Banana Bungalow Hollywood
800,800,Discovery Hostel
801,801,Hatters Hostel- Liverpool
802,802,Backpackers Hostel K's House Hiroshima
803,803,Continental Centre Hotel
804,804,Five Elements Hostel Frankfurt
805,805,Ostello Bello
806,806,Generator Hostel Prenzlauer Berg
807,807,City Hostel - Central Station
808,808,The Burren Hostel (Sleepzone)
809,809,Rainbow Hostel Doolin
810,810,Hotel Trentina
811,811,YHA London St Pancras
812,812,Paradise Cottage
813,813,Kiwi House
814,814,Noah's Ark Backpackers
815,815,Gold Coast Backpackers
816,816,"Hotel DEAUVILLE (Inn, hostel & crewhouse)"
817,817,Base Brisbane - Embassy
818,818,"PubLove @ The Green Man, Paddington"
819,819,Hue Backpackers Hostel
820,820,Hop Yen Hotel
821,821,Age Budapest Youth Centre
822,822,Maria Hostel
823,823,Penguin Village
824,824,Hotel Astoria
825,825,Luan Vu
826,826,Red Nest Hostel Valencia
827,827,Hostel City Center
828,828,Urban Central
829,829,Friends Hostel
830,830,Lettem Sleep
831,831,Der Salzburgerhof & Hotel-Annex
832,832,Hotel Chinatown 2
833,833,Dragonfly Hostels
834,834,International House Medellin Hostel
835,835,I vespri
836,836,HI-Montreal
837,837,Backpackers Hostel K's House Tokyo
838,838,HI San Francisco - City Center
839,839,Happy Dragon Courtyard
840,840,Comfort Hostel HK
841,841,Ciak Hostel
842,842,Alias Youthhostel
843,843,Hotel Belazur
844,844,Hotel Sabina
845,845,Hostel Bell
846,846,Vagabonds
847,847,Euro Hostel Glasgow
848,848,Youth Hostel Innsbruck
849,849,Basel Back Pack
850,850,A&O Leipzig Hauptbahnhof
851,851,Station Hostel for Backpackers
852,852,A&O Graz Hauptbahnhof
853,853,Jugend und FamiliengÃ¤stehaus Villach
854,854,Stayokay Rotterdam Cube Hostel
855,855,Hostal Mayapan
856,856,Kin Balam CabaÃ±as
857,857,Viatger Inn
858,858,Hostel La Candelaria
859,859,La Caja Habitada
860,860,Backpackers Al-Katre
861,861,Hostel Dolce Vita
862,862,British Hotel
863,863,Furkat
864,864,Center Valencia Youth Hostel
865,865,Ganbara Hostel
866,866,Rossio Hostel
