,hostel,hostel_info,link
30,Feetup Garden House Hostel,"[>8.5, Awards:1, Spain, Barcelona, Linen Included, Free City Maps, Free WiFi, Free Internet Access , Wheelchair Friendly, Security Lockers, Key Card Access, Common Room, Book Exchange, Hot Showers, Cooker, Fridge/Freezer, Outdoor Terrace, Hair Dryers, Microwave, Washing Machine, Steam Room, Laundry Facilities, Bicycle Hire, Towels for hire, Luggage Storage, Fax Service, 24 Hour Reception, Tours/Travel Desk, Vending Machines, Cafe, Tea & Coffee Making Facilities, DVD's, Board Games, Credit Cards Accepted, No Curfew, Non Smoking, H_t1]",http://www.hostelworld.com/hosteldetails.php/Feetup-Garden-House-Hostel/Barcelona/1378
31,Samesun Venice Beach,"[>8.5, Awards:0, USA, Los Angeles, Free Breakfast, Linen Included, Free WiFi, Free Internet Access , Security Lockers, Common Room, Air Conditioning, Adaptors, Hot Showers, Self-Catering Facilities, Fridge/Freezer, Dryer, Cable TV, Reading Light, Hair Dryers, Ceiling Fan, Safe Deposit Box, Microwave, Washing Machine, Internet Access, Laundry Facilities, Bicycle Hire, Towels for hire, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, ATM, 24 Hour Security, Housekeeping, Vending Machines, Wi-Fi, Age Restriction, Credit Cards Accepted, No Curfew, Non Smoking, Taxes Not Included, H_t9]",http://www.hostelworld.com/hosteldetails.php/Samesun-Venice-Beach/Los-Angeles/1826
32,Wow Roma,"[>8.5, Awards:0, Italy, Rome, Free Breakfast, Free WiFi , Air Conditioning, Hot Showers, Self-Catering Facilities, Hair Dryers, Internet Access, Tours/Travel Desk, Credit Cards Accepted, No Curfew, H_t1]",http://www.hostelworld.com/hosteldetails.php/Wow-Roma/Rome/19822
33,Freedom Traveller,"[7-8.5, Awards:0, Italy, Rome, Linen Included, Free City Maps, Free WiFi, Free Internet Access , Security Lockers, Common Room, Elevator, Breakfast Not Included, Air Conditioning, Book Exchange, Hot Showers, Self-Catering Facilities, Cable TV, Outdoor Terrace, Hair Dryers For Hire, Hair Dryers, Steam Room, Internet Access, Towels for hire, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, Vending Machines, Tea & Coffee Making Facilities, Credit Cards Accepted, No Curfew, Taxes Not Included, H_t10]",http://www.hostelworld.com/hosteldetails.php/Freedom-Traveller/Rome/761
34,Sitting On The City Walls Courtyard House,"[>8.5, Awards:5, China, Beijing, Linen Included, Free WiFi, Free Internet Access , Security Lockers, Common Room, Bicycle Parking, Breakfast Not Included, Air Conditioning, Book Exchange, Hot Showers, Hair Dryers For Hire, Card Phones, Internet Access, Towels for hire, Luggage Storage, Fax Service, 24 Hour Reception, Tours/Travel Desk, Postal Service, 24 Hour Security, Restaurant, Bar, Vending Machines, Mini-Supermarket, Cafe, No Curfew, H_t8]",http://www.hostelworld.com/hosteldetails.php/Sitting-On-The-City-Walls-Courtyard-House/Beijing/24225
35,Brussels Hello Hostel,"[7-8.5, Awards:2, Belgium, Brussels, Free Breakfast, Linen Included, Free City Maps, Free WiFi, Free Internet Access, Free City Tour , Security Lockers, Key Card Access, Common Room, Bicycle Parking, Book Exchange, Hot Showers, Self-Catering Facilities, Fridge/Freezer, Cable TV, Outdoor Terrace, Jobs Board, Hair Dryers For Hire, Hair Dryers, Iron / Ironing Board, Safe Deposit Box, Steam Room, Internet Access, Laundry Facilities, Airport Transfers, Bicycle Hire, Towels for hire, Luggage Storage, Fax Service, 24 Hour Reception, Tours/Travel Desk, ATM, 24 Hour Security, Housekeeping, Express check-in / out, Bar, Meals Available, Vending Machines, Cafe, Tea & Coffee Making Facilities, DVD's, Board Games, Age Restriction, Credit Cards Accepted, No Curfew, Non Smoking, Taxes Included, H_t2]",http://www.hostelworld.com/hosteldetails.php/Brussels-Hello-Hostel/Brussels/32966
36,Florida Hostel & Hotel,"[>8.5, Awards:0, Italy, Sorrento, Linen Included, Free Parking, Free City Maps, Free WiFi, Free Internet Access , Security Lockers, Swimming Pool, Key Card Access, Common Room, Bicycle Parking, Air Conditioning, Meeting Rooms, Adaptors, Book Exchange, Hot Showers, Cable TV, Outdoor Terrace, Reading Light, Parking, Outdoor Swimming Pool, Hair Dryers, Safe Deposit Box, Steam Room, Internet Access, Airport Transfers, Towels for hire, Luggage Storage, Fax Service, 24 Hour Reception, Tours/Travel Desk, Currency Exchange, Postal Service, 24 Hour Security, Housekeeping, Restaurant, Bar, Meals Available, Credit Cards Accepted, No Curfew, H_t2]",http://www.hostelworld.com/hosteldetails.php/Florida-Hostel-and-Hotel/Sorrento/59438
37,Seaside Hawaiian Hostel Waikiki,"[>8.5, Awards:0, USA, Honolulu, Linen Included, Towels Included, Free WiFi, Free Internet Access , Security Lockers, Common Room, Bicycle Parking, BBQ, Hot Showers, Self-Catering Facilities, Cable TV, Outdoor Terrace, Hair Dryers, Ceiling Fan, Safe Deposit Box, Luggage Storage, 24 Hour Security, Housekeeping, Tea & Coffee Making Facilities, DVD's, Board Games, Age Restriction, Taxes Not Included, H_t10]",http://www.hostelworld.com/hosteldetails.php/Seaside-Hawaiian-Hostel-Waikiki/Honolulu/12423
38,"HI Chicago, The J.Ira & Nicki Harris Family Hostel","[>8.5, Awards:11, USA, Chicago, Free Breakfast, Linen Included, Free City Maps, Towels Included, Free WiFi, Free Internet Access , Wheelchair Friendly, Security Lockers, Key Card Access, Common Room, Elevator, Bicycle Parking, Air Conditioning, Meeting Rooms, Book Exchange, Hot Showers, Self-Catering Facilities, Reading Light, Hair Dryers For Hire, Hair Dryers, Ceiling Fan, Iron / Ironing Board, Microwave, Card Phones, Washing Machine, Internet Access, Laundry Facilities, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, ATM, 24 Hour Security, Housekeeping, Late check-out, Reception (limited hours), Restaurant, Vending Machines, Cafe, Tea & Coffee Making Facilities, Wii, DVD's, Board Games, Games Room, Pool Table, Credit Cards Accepted, No Curfew, Non Smoking, Taxes Not Included, H_t10]",http://www.hostelworld.com/hosteldetails.php/HI-Chicago-The-J-Ira-and-Nicki-Harris-Family-Hostel/Chicago/1853
39,Copenhagen Downtown Hostel,"[>8.5, Awards:5, Denmark, Copenhagen, Linen Included, Free City Maps, Free WiFi, Free Internet Access , Security Lockers, Key Card Access, Common Room, Elevator, Bicycle Parking, Breakfast Not Included, Adaptors, Hot Showers, Self-Catering Facilities, Reading Light, Hair Dryers For Hire, Parking, Hair Dryers, Safe Deposit Box, Washing Machine, Steam Room, Internet Access, Laundry Facilities, Bicycle Hire, Towels for hire, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, 24 Hour Security, Housekeeping, Bar, Meals Available, Cafe, DVD's, Board Games, Pool Table, Foosball, Age Restriction, Credit Cards Accepted, No Curfew, Non Smoking, Taxes Included, H_t2]",http://www.hostelworld.com/hosteldetails.php/Copenhagen-Downtown-Hostel/Copenhagen/23831
